cell_line,psi_true,ci_t_lo,ci_t_hi,psi_rot,ci_r_lo,ci_r_hi,psi_diff,n_genes,p_two_sided,q_fdr
ACH-000097,-0.9331972280106539,-17.233426524323267,7.1317746350270355,5.201935075420694,-7.179383442940041,22.68784476818055,-6.135132303431348,150,1.6429503012203464,1.0
ACH-003180,-5.8350595722147025,-46.537948072712055,6.805867049553833,0.9287553204155753,-10.32185131980428,12.543846998423371,-6.763814892630278,150,1.7719929543363093,1.0
ACH-002029,11.475674776177,11.475674776177,11.475674776177,18.57225823557072,18.57225823557072,18.57225823557072,-7.096583459393722,150,,1.0
ACH-001509,-2.2407572986403235,-23.100537473186463,3.983250725859083,5.549659597389919,-10.650445258324785,24.117660360159842,-7.7904168960302425,150,1.5673293170487244,1.0
ACH-000583,3.0019035380313097,-10.536077599525361,12.566170637818155,12.504603507216016,2.40408578774526,24.517712855993757,-9.502699969184707,150,1.0145418432167523,1.0
ACH-000291,-14.072466815157563,-14.072466815157563,-14.072466815157563,-3.9733412657281995,-3.9733412657281995,-3.9733412657281995,-10.099125549429363,150,,1.0
ACH-000527,-1.7891992837430055,-18.07817208197309,14.883407329553624,8.742269011193187,-6.3713678103465625,21.956838138513206,-10.531468294936193,150,1.2705399324428692,1.0
ACH-000804,-5.327015792918717,-151.39134986542467,107.0305961970003,6.7293409348866,-29.483085404536197,56.02154005013319,-12.056356727805316,150,1.962588175234664,1.0
ACH-000859,-12.180341139233002,-12.180341139233002,-12.180341139233002,1.3385245723896262,1.3385245723896262,1.3385245723896262,-13.51886571162263,150,,1.0
ACH-000836,-15.1198859275037,-15.1198859275037,-15.1198859275037,-1.310869756143927,-1.310869756143927,-1.310869756143927,-13.809016171359774,150,,1.0
ACH-001975,-7.632675397157664,-33.50488449124118,16.616155016771852,7.356376910410893,-6.153874973509967,16.835861342033198,-14.989052307568556,150,1.0483929431773298,1.0
ACH-000147,-6.244262440011141,-32.7862147393949,27.95268282248616,9.876200549813953,-16.27915781029745,13.163641681852354,-16.120462989825093,150,1.2240158921744002,1.0
ACH-000074,-16.787014476610512,-37.218565076848144,44.133513585213635,-0.1505139083340823,-13.918451990639284,17.351447651150572,-16.63650056827643,150,1.4302291064597856,1.0
ACH-000203,-24.860147831350353,-24.860147831350353,-24.860147831350353,-7.528780341218656,-7.528780341218656,-7.528780341218656,-17.331367490131697,150,,1.0
ACH-001676,-10.250556352209587,-51.84361543270704,1.9960432632008671,8.288003758956517,0.038359470059940864,13.966946343415502,-18.538560111166106,150,0.6333174605476463,1.0
ACH-000087,-26.52759698286637,-38.32282119928053,0.0,-7.054774362993532,-13.373146101096362,22.628738961991846,-19.472822619872836,150,0.6965352674612773,1.0
ACH-000502,-16.14929711099196,-79.4050460642364,0.0,3.986306050179839,-5.718235762381078,10.025792068047739,-20.135603161171797,150,1.0049950755787,1.0
ACH-000168,-30.39370407137436,-66.25680241497012,66.97581301767642,-7.532715104904151,-30.585677038003556,7.4323975961043365,-22.86098896647021,150,1.5209068858685006,1.0
ACH-000222,-28.04565610125009,-28.04565610125009,-28.04565610125009,-4.146226392030637,-4.146226392030637,-4.146226392030637,-23.89942970921945,150,,1.0
ACH-000118,-19.184139906211048,-19.184139906211048,-19.184139906211048,7.7274991943267,7.7274991943267,7.7274991943267,-26.911639100537748,150,,1.0
ACH-001578,-21.292268449048194,-39.85972641995776,24.13799488773617,5.699680705601625,-15.647457296730575,16.75966698181519,-26.99194915464982,150,0.5996237293629696,1.0
ACH-000053,6.607946115181859,-8.333223495819617,18.323843055841834,35.160279268714675,0.0,45.50720155220605,-28.552333153532814,150,0.18043519651687764,1.0
ACH-000749,-13.393195280648747,-23.297873573114543,5.761108739339814,17.612266494147562,-12.492358751576278,53.07059042146859,-31.00546177479631,150,0.38412757396645114,1.0
ACH-000001,,,,-0.1613667825897353,-0.1613667825897353,-0.1613667825897353,,150,,1.0
ACH-000004,,,,,,,,150,,1.0
ACH-000005,,,,,,,,150,,1.0
ACH-000007,,,,,,,,150,,1.0
ACH-000009,,,,,,,,150,,1.0
ACH-000011,,,,,,,,150,,1.0
ACH-000012,,,,,,,,150,,1.0
ACH-000013,,,,,,,,150,,1.0
ACH-000014,,,,,,,,150,,1.0
ACH-000015,,,,,,,,150,,1.0
ACH-000017,,,,,,,,150,,1.0
ACH-000018,,,,,,,,150,,1.0
ACH-000019,19.780856383020847,16.261360487403582,23.30035227863811,,,,,150,,1.0
ACH-000023,,,,,,,,150,,1.0
ACH-000024,-3.2343432863903727,-3.2343432863903727,-3.2343432863903727,,,,,150,,1.0
ACH-000029,,,,,,,,150,,1.0
ACH-000030,,,,,,,,150,,1.0
ACH-000035,-16.90973350801152,-16.90973350801152,-16.90973350801152,,,,,150,,1.0
ACH-000036,8.499906648430787,8.499906648430787,8.499906648430787,,,,,150,,1.0
ACH-000037,,,,,,,,150,,1.0
ACH-000039,,,,,,,,150,,1.0
ACH-000040,,,,,,,,150,,1.0
ACH-000041,,,,,,,,150,,1.0
ACH-000042,,,,,,,,150,,1.0
ACH-000045,,,,,,,,150,,1.0
ACH-000047,,,,,,,,150,,1.0
ACH-000048,,,,,,,,150,,1.0
ACH-000052,,,,,,,,150,,1.0
ACH-000054,24.08928337723013,24.08928337723013,24.08928337723013,,,,,150,,1.0
ACH-000060,26.75046499003501,26.75046499003501,26.75046499003501,,,,,150,,1.0
ACH-000070,,,,,,,,150,,1.0
ACH-000075,,,,34.32579918993331,34.32579918993331,34.32579918993331,,150,,1.0
ACH-000076,,,,,,,,150,,1.0
ACH-000077,,,,,,,,150,,1.0
ACH-000078,,,,,,,,150,,1.0
ACH-000082,,,,-3.8176652962612163,-3.8176652962612163,-3.8176652962612163,,150,,1.0
ACH-000085,,,,,,,,150,,1.0
ACH-000086,,,,,,,,150,,1.0
ACH-000090,,,,,,,,150,,1.0
ACH-000092,,,,,,,,150,,1.0
ACH-000093,-10.019890896090951,-10.019890896090951,-10.019890896090951,,,,,150,,1.0
ACH-000095,,,,-7.435025174974436,-7.435025174974436,-7.435025174974436,,150,,1.0
ACH-000096,,,,2.692356992788527,2.692356992788527,2.692356992788527,,150,,1.0
ACH-000098,-9.89146189637882,-9.89146189637882,-9.89146189637882,,,,,150,,1.0
ACH-000099,,,,,,,,150,,1.0
ACH-000101,,,,-9.655801594945224,-9.655801594945224,-9.655801594945224,,150,,1.0
ACH-000111,,,,,,,,150,,1.0
ACH-000113,,,,,,,,150,,1.0
ACH-000116,,,,,,,,150,,1.0
ACH-000120,,,,,,,,150,,1.0
ACH-000123,,,,,,,,150,,1.0
ACH-000127,,,,-7.280920977327809,-7.280920977327809,-7.280920977327809,,150,,1.0
ACH-000128,,,,0.5377105402456603,0.5377105402456603,0.5377105402456603,,150,,1.0
ACH-000132,-3.1617344735325217,-16.523166214182236,-1.836664853058042,,,,,150,,1.0
ACH-000133,,,,,,,,150,,1.0
ACH-000137,30.63754678009929,30.63754678009929,30.63754678009929,,,,,150,,1.0
ACH-000139,,,,,,,,150,,1.0
ACH-000141,,,,,,,,150,,1.0
ACH-000142,,,,,,,,150,,1.0
ACH-000143,,,,,,,,150,,1.0
ACH-000144,,,,,,,,150,,1.0
ACH-000145,,,,,,,,150,,1.0
ACH-000146,,,,,,,,150,,1.0
ACH-000148,,,,,,,,150,,1.0
ACH-000151,,,,,,,,150,,1.0
ACH-000152,,,,,,,,150,,1.0
ACH-000153,,,,,,,,150,,1.0
ACH-000155,,,,,,,,150,,1.0
ACH-000159,,,,,,,,150,,1.0
ACH-000160,,,,-35.12779595566655,-43.65467982920666,-26.600912082126435,,150,,1.0
ACH-000163,,,,,,,,150,,1.0
ACH-000164,,,,,,,,150,,1.0
ACH-000167,,,,,,,,150,,1.0
ACH-000169,,,,-0.6801422127128199,-0.6801422127128199,-0.6801422127128199,,150,,1.0
ACH-000172,,,,,,,,150,,1.0
ACH-000174,,,,,,,,150,,1.0
ACH-000182,,,,,,,,150,,1.0
ACH-000187,,,,,,,,150,,1.0
