cell_line,r_before,r_after,abs_r_before,abs_r_after,delta_abs_corr,n_genes,condition
ACH-000739,-0.3019371060362444,-0.3019371060362444,0.3019371060362444,0.3019371060362444,0.0,21,ROTATE
ACH-000805,0.25755551474924215,0.25755551474924215,0.25755551474924215,0.25755551474924215,0.0,21,ROTATE
ACH-000900,0.05492660746270924,0.05492660746270924,0.05492660746270924,0.05492660746270924,0.0,22,ROTATE
ACH-000917,0.44573166231839284,0.44573166231839284,0.44573166231839284,0.44573166231839284,0.0,20,ROTATE
ACH-001038,-0.4481880273986779,-0.4481880273986779,0.4481880273986779,0.4481880273986779,0.0,30,ROTATE
ACH-001436,-0.22207039070500972,-0.2252231860358478,0.22207039070500972,0.2252231860358478,-0.003152795330838065,94,ROTATE
ACH-001610,0.2536766784392897,0.24097093806840986,0.2536766784392897,0.24097093806840986,0.012705740370879848,24,ROTATE
ACH-001624,0.003661821485042045,0.004526566500460138,0.003661821485042045,0.004526566500460138,-0.0008647450154180927,108,ROTATE
ACH-001641,0.009865987309887685,0.009865987309887685,0.009865987309887685,0.009865987309887685,0.0,21,ROTATE
ACH-001662,0.4140639040276626,0.4140639040276626,0.4140639040276626,0.4140639040276626,0.0,21,ROTATE
ACH-001669,-0.09154283053494001,-0.09252597467391988,0.09154283053494001,0.09252597467391988,-0.0009831441389798606,125,ROTATE
ACH-001709,-0.15430771893885709,-0.15357202059054736,0.15430771893885709,0.15357202059054736,0.0007356983483097213,136,ROTATE
ACH-001863,-0.09564190694860525,-0.09564190694860525,0.09564190694860525,0.09564190694860525,0.0,23,ROTATE
ACH-002020,-0.21936021672479936,-0.2201589188717151,0.21936021672479936,0.2201589188717151,-0.0007987021469157418,118,ROTATE
ACH-002045,0.22029549812144394,0.22029549812144394,0.22029549812144394,0.22029549812144394,0.0,22,ROTATE
ACH-002214,-0.1845163630437121,-0.18568795985618344,0.1845163630437121,0.18568795985618344,-0.0011715968124713372,120,ROTATE
ACH-002471,0.3644680914758027,0.3644680914758027,0.3644680914758027,0.3644680914758027,0.0,27,ROTATE
ACH-002524,0.11667001468344569,0.11667001468344569,0.11667001468344569,0.11667001468344569,0.0,21,ROTATE
ACH-002530,-0.2237952205347133,-0.25831376354777963,0.2237952205347133,0.25831376354777963,-0.03451854301306634,23,ROTATE
ACH-002650,0.052879858121180776,0.06125250232370107,0.052879858121180776,0.06125250232370107,-0.008372644202520298,25,ROTATE
ACH-002688,0.1847758887338478,0.1847758887338478,0.1847758887338478,0.1847758887338478,0.0,21,ROTATE
ACH-002706,0.05904144904782047,0.05904144904782047,0.05904144904782047,0.05904144904782047,0.0,22,ROTATE
ACH-002800,0.06892823891191488,0.07626690659229048,0.06892823891191488,0.07626690659229048,-0.007338667680375596,122,ROTATE
