cell_line,k_dir_true,n_genes_true,k_dir_rot,n_genes_rot,rate_true_raw,rate_rot_raw,rate_true_eb,rate_rot_eb,post_diff_mean,post_diff_lo,post_diff_hi,post_prob_gt0,split_half_rho,n_reps
ACH-000817,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0019186684948795517,-0.010030870946108633,0.0016657389486949734,0.106,,
ACH-000819,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005379254868557071,-0.018100483293793733,0.0001941154946354108,0.03,,
ACH-000820,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.00190973941755608,-0.010055425626963401,0.0017095848919316393,0.103,,
ACH-000822,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0019484043118532955,-0.009462332076257735,0.0017675771033327406,0.098,,
ACH-000826,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001856691865921228,-0.009234811696837817,0.0017680676896874965,0.115,,
ACH-000827,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017263829058387164,-0.010187188389166097,0.0013987372277910548,0.104,,
ACH-000829,0,150,2,150,0.0,0.013333333333333334,0.00029840054916293457,0.009230466070727653,-0.008871163665475005,-0.023625934612561444,-0.001170469170249956,0.007,,
ACH-000831,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005500302269474159,-0.01735528603580268,-0.0001378386319889324,0.02,,
ACH-000832,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.00539033390072771,-0.016310009201387497,-0.00021877013415468006,0.019,,
ACH-000833,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017825144901570903,-0.009480704217134702,0.001757658538912093,0.107,,
ACH-000834,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.0055886230043060365,-0.016794586273639448,0.00015105331109885531,0.03,,
ACH-000835,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017927056451844305,-0.010247153631029867,0.0025107223036598724,0.128,,
ACH-000836,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017093057830695165,-0.008004773705662807,0.0017673657116589817,0.107,,
ACH-000837,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001799682462592884,-0.009111170971229638,0.0020351906389500735,0.108,,
ACH-000838,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005277640228316465,-0.017066603608723065,-4.517578802518922e-05,0.023,,
ACH-000839,2,150,0,150,0.013333333333333334,0.0,0.007198683082360276,0.002100010383956642,0.005343747869062828,-0.005325306929025607,0.019822189381185185,0.864,,
ACH-000840,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005324984649410894,-0.01758137835933225,4.4341023779893176e-05,0.028,,
ACH-000841,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018513148690449987,-0.009725390203714176,0.0026440089069084635,0.125,,
ACH-000843,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017936705622673098,-0.009007074963455819,0.0018721418419190056,0.099,,
ACH-000845,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.0052119155885856335,-0.01685385307912754,-9.291092209894778e-05,0.021,,
ACH-000846,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018762664968351801,-0.010706768424860312,0.0015287194391423178,0.101,,
ACH-000847,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005578607660683632,-0.017843514503545297,0.000328910618629454,0.034,,
ACH-000848,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0019182143472637548,-0.00999666957771946,0.0018584289012373602,0.118,,
ACH-000849,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005318868852734785,-0.01730826118005045,6.211683800948193e-05,0.027,,
ACH-000853,1,150,1,150,0.006666666666666667,0.006666666666666667,0.0037485418157616047,0.005665238227342146,-0.002050694895347194,-0.013007398469270195,0.00888665563812836,0.333,,
ACH-000855,0,150,2,150,0.0,0.013333333333333334,0.00029840054916293457,0.009230466070727653,-0.00904343943060676,-0.02278965830598752,-0.0011524556137733131,0.008,,
ACH-000856,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0016848017039883835,-0.008783563535737584,0.002094385458966798,0.132,,
ACH-000858,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.0053134929625109715,-0.018163419340751375,0.00010877512810843593,0.027,,
ACH-000859,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005302094692502544,-0.01717614985764748,7.925160964227249e-05,0.028,,
ACH-000861,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018125499966901398,-0.009491815035658518,0.001601534408688234,0.101,,
ACH-000865,1,150,0,150,0.006666666666666667,0.0,0.0037485418157616047,0.002100010383956642,0.0014605953840477366,-0.006963135115183801,0.010935462205059188,0.66,,
ACH-000866,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018627659843276259,-0.010403025451361354,0.0014395943543808036,0.105,,
ACH-000867,1,150,1,150,0.006666666666666667,0.006666666666666667,0.0037485418157616047,0.005665238227342146,-0.0014734866168599568,-0.012807866634323092,0.010216360071378803,0.381,,
ACH-000869,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001655539967951089,-0.008639833538624719,0.0016883785824343869,0.102,,
ACH-000871,0,150,3,150,0.0,0.02,0.00029840054916293457,0.012795693914113157,-0.012258143040801252,-0.02803398994255383,-0.002429634217223619,0.006,,
ACH-000872,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005662443732032966,-0.016717272650892394,-0.00027400769060747897,0.016,,
ACH-000874,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001913922732702542,-0.010292240532894271,0.001823261718246112,0.113,,
