gene,abs_near_true,abs_max_true,near_excess_W,near_excess_A,max_excess_W,max_excess_A,delta_abs_corr_true,deltacorr_excess_W,deltacorr_excess_A,score
ABHD4,0.0002003687454112,0.0103425809459794,-0.0087899566679013,-0.0023583681028624,0.0013522555326669003,0.0074947537122847996,-0.0245400618808502,0.0048347287007144,-0.006850123629356199,28114.0
SOWAHB,0.0098774839904157,0.0135420922033703,-0.003861604760409299,-0.0035272532627252003,-0.00019699654745469926,0.00013735495022939963,0.0023304715817928,3.297834190039983e-05,-0.007791343242154599,28070.0
ST3GAL6,0.0019837088507682,0.0171068692706671,-0.005627597436928099,-0.0080722844071858,0.0066313249224635995,0.007050876012713101,-0.0177783658749445,-0.007448612372391899,0.005777296689595601,28022.0
CABP5,0.0037085319141041,0.0138979063571941,-0.0011476197701110998,0.0011502849799999,0.0033695231766821005,0.0109657364557574,-0.0140837258279248,-0.0135505518030408,0.0007735153332081995,28017.0
SLC25A4,0.0035553429864163,0.008644615024149,0.0003155695580408001,-0.011357377988981,-0.0011519575593709995,-0.0062681059512483,-0.013010958896192,-0.01308998754422855,0.0017127877744154002,28012.0
LRP4,0.0034228824587925,0.0463344484292729,-0.0234020013706242,-0.0031293444175161996,0.019509564599856203,0.0319159687120968,-0.0080115904119912,-0.013695129324999701,0.003227501560274699,27997.0
GNG3,0.0021528698209912,0.0044270468739455,-0.0015826149113512002,-0.0068980703876028,0.0006915621416030996,-0.0046238933346485,-0.001520266150873,0.0007484661613393999,-0.013578324345326,27969.0
PTRH1,0.0026770345766055,0.0138227272603359,-0.0019546774015269,-0.017422844193366097,0.008935167505365101,-0.006277151509635698,-0.0103067022539934,0.0032163725718333,-0.0171739565744874,27947.0
ACTN2,0.0029301208692252,0.0122244215598211,-0.0190813352880813,-0.0008541924891855997,-0.0097870345974854,3.2821332789300176e-05,-0.0077139006982979,0.0019799975965669007,-0.0165179512456303,27930.0
MMP25,0.0035948966280186,0.0154970648666578,-0.004492226679617299,-0.014272503324945902,0.0074099415590219014,-0.002370335086306701,0.0046162584602004,-0.0140327059324586,6.104087906860008e-05,27885.0
MRPL39,0.0056874360861563,0.0267613317988531,-0.034324526543372195,-0.015766712816942398,-0.013250630830675396,0.005307182895754402,-0.020099655061021,-0.011663648001443599,0.007435748333366601,27876.0
NOL12,0.0079546161072092,0.0208131069450269,-0.023757863848212706,-0.002699447857832901,-0.010899373010395005,0.008451452475025998,-0.0306350918441409,0.0060039230131501,-0.0021777654179248977,27869.0
OR2W1,0.0021205544508801,0.0068710282772712,-0.0030617758170903,-0.0125521846369961,0.0003691781154008004,-0.007801710810605,-0.0274599716753177,0.006053749882925997,-0.011737176506977302,27867.0
BBS12,0.0014716214812751,0.0231198554720845,-0.0024665685678291003,-0.0103159893816617,0.015659352595530602,0.011332244609147701,-0.0020882442788765,-0.0135264008140374,0.0016495002514014,27849.0
LYAR,0.0024000734794067,0.0161037407248558,-0.005634583391849001,-0.008928503486275,0.008069083853600098,-0.0034775791649503014,-0.0001710480414578,0.0020328873051643002,-0.0248655857064168,27843.0
FSIP2,0.0039883816406407,0.0092148006562638,-0.0025775249891008996,-0.009306453876061,0.002648894026522201,-0.004142794899947899,-0.0170173505282084,0.0051194971872448,-0.015188612571532102,27804.0
MT4,0.0118046156794352,0.0220398190681307,0.0011156438498178007,-0.0147032702903402,0.011350847238513302,-0.0044680669016447,-0.0087907984336185,0.00040359433772720055,-0.0195727379327787,27791.0
KLHL28,0.0021653734267369,0.0032859901541807,-0.00046760681812730003,-0.009789636773690099,0.00034363397278899983,-0.011525427925559,-0.0361258080288057,0.004862900532324098,-0.0374832891997904,27748.0
PHKA1,0.0033486026805143,0.0107357365142705,-0.005129192830634099,-0.0071928864692544,0.002257941003122101,-0.0031171587107228,-0.0067040591786103,0.0042064056639084,-0.013051998811013,27743.0
ZNF45,0.0050087001571594,0.0070336110744755,-0.003447492317302901,0.0026653256855549996,-0.0014225813999868006,0.0039008713069162,-0.0238048450565897,0.00045289833334869953,-0.007531570372140799,27728.0
SPON1,0.0345772056871694,0.1441600186952565,-0.030722340402916597,-0.0877960127832263,0.0788604726051705,0.02178680022486079,-0.0236318294713893,-0.0631095007031153,0.008540941865384299,27721.0
FBXW2,0.0136802811087804,0.0160481727100313,0.0019479312095520996,-0.0107472616677445,0.004315822810803,-0.0083793700664936,-0.0412728311266723,0.0020146782375556962,-0.0512467143970119,27697.0
NME4,0.0002723572452066,0.0069815736343819,-0.023583492500442102,-0.0039896885533281,-0.016874276111266802,0.0027195278358472,-0.002729696892756,-0.0263808218260114,0.0028783364043124004,27688.0
C2orf42,0.0048084870466362,0.0234070078176343,0.0016496280527640004,-0.0289589508338058,0.009043809653935902,-0.011558525746317397,-0.0135232886962165,0.0008317029158240001,-0.0227632516066327,27684.0
ASAH1,0.0030697104085079,0.0162889489062303,0.00034965702577619993,0.0029604305824014,0.0113785475256975,0.0133737707976376,-0.0263412664317727,0.00036191796784959887,-0.009606801514122198,27669.0
SSH3,0.0023653415808503,0.0103440390874012,0.0008371609129205,-0.0086540200800444,0.00023022208930660072,-0.003985740508682899,-0.027756922606929,0.0031949384349021018,-0.029639875476867,27666.0
KCNE2,0.009105067474611,0.02370579915296,0.0009209544899557998,-0.0015476474367485012,0.015521686168304799,0.013053084241600498,-0.010733304350657,-0.002416488052892801,0.0013001284593076989,27666.0
SORL1,0.002147409418319,0.002147409418319,0.0011847814363519999,0.0007063577611077,-0.0005147263754317001,0.0007063577611077,-0.0126679310099633,-0.0036432106353994995,0.0013272089027259008,27655.0
HSPA9,0.0057698957297296,0.0348276571766975,-0.0205340366403682,-0.028624083734369997,0.00028771039382100017,0.00043367771259790466,0.0069689294949276,0.0012300272078936006,-0.004084561624400101,27638.0
RPL11,0.0527434513547037,0.1505759136855761,-0.012405996703162593,-0.046559180951712305,0.08542646562770981,0.051273281379160096,0.0043211081396888,0.0018735758547383003,-0.0059514745004025,27629.0
RAB18,0.0030604117301388,0.033210247070847,-0.0090103268267831,-0.026329712621079002,0.014413835240272899,0.0038201227196291987,0.0083315091475204,-0.012542669193090501,0.0004569429136063001,27596.0
ARL6IP1,0.0088869608823397,0.0119767577484915,-0.0037574641403131,0.001599082455000101,-0.0064868863771277,0.004688879321151901,-0.0082957105226271,-0.017870961131096902,0.00011583611733349992,27591.0
SMAD3,0.0009838597855448,0.0053305485475936,-0.0095022560385983,-0.0011364954377158002,-0.0051555672765495,0.0022656171118236,-0.0238017603498357,0.005358895362593298,-0.0065591476334745,27582.0
MARCKS,0.0046219738343081,0.0247167161927033,-0.0037308027877062007,-0.021330970571375202,0.016363939570689,-0.013757595842851102,-0.0110660633720563,-0.0095475915388859,0.005310054916490899,27562.0
MAP4K4,0.0094284405888027,0.0133722567055168,0.00047004663748430146,-0.006516142255903298,0.004413862754198401,-0.002572326139189198,-0.0117482233482777,0.0024391677243454004,-0.0089906100106236,27550.0
MROH2B,0.0040296908417505,0.0138663306596429,0.0006916272357019998,-0.0097511147958187,0.0105282670535944,-0.012556285605664798,-0.0108995271090744,0.0019951224737043,-0.0479352270847906,27543.0
PDE5A,0.001358767735868,0.007688399855807,-0.0028601679085571,-0.0037514560088860002,0.0034694642113819,0.0024433891457082005,-0.0063251855389959,0.0038404593537631005,0.0032635043699451,27542.0
DGKD,0.0052354573652003,0.0203650173796428,-0.0060318693905438,-0.0008026073488289999,0.009097690623898699,0.014326952665613499,0.0001438301491333,0.0005127508759890001,-0.0016385771295221998,27541.0
ERAP2,0.0033159844540759,0.0073801398347258,-0.0039841785169226,-0.0014471351080600002,7.997686372729958e-05,0.0026170202725898997,-0.0011802547583546,0.0006342726931308001,0.0014462624335491,27539.0
NEDD1,0.0012245423152621,0.0823531309027212,-0.0411177630047542,-0.0140115561340501,0.0400108255827049,0.0285193872952876,0.0063391405169491,0.0015067819617923996,-0.0064824729794939005,27533.0
TPK1,0.0071736253923642,0.0084275521879253,-0.010511960150265901,0.0030303591677529997,-0.0092580333547048,0.0042842859633141,-0.0228988075748841,-0.0157508516047941,0.0003982742349322027,27524.0
KLF3,0.0074863787252255,0.0074863787252255,-0.000709138222285001,0.0007352629847869998,-0.000709138222285001,0.00031374521777449964,-0.0118369106861164,-0.0053508626049829,0.0022197053594801997,27511.0
MRGPRE,0.0103518985091344,0.0191671441182229,-0.012729613687473,-0.003340112091289201,-0.003914368078384498,0.004455090641707401,-0.0005933424731249,0.0023455629751638,-0.006198991084441699,27506.0
SCN5A,0.0005754131918611,0.0079549379954167,-0.0314566678914016,-0.0024027713378057996,-0.024077143087846,0.002766498875168999,-0.0177780123090073,0.005914899398500498,-0.004537250125860901,27504.0
TCF23,0.0051330473736231,0.0137224032662582,0.0007864366093362999,-0.009431257922954898,0.0093757925019714,-0.0013405535395681987,-0.0162790450413254,0.0028626843711918003,-0.020004440453680602,27494.0
COL22A1,0.0057120040837361,0.0057120040837361,-0.0019931074862197997,0.0033432646961532,-0.0019931074862197997,0.0031679782927899,-0.0432769844459129,0.000792255830889696,-0.008698927592877603,27483.0
CBLN4,0.0030941975679959,0.0111419543376054,4.0452618853699905e-05,0.0018425615409202998,0.0005968916840747001,0.0094618627258851,-0.0168602866890064,-0.009803177020008899,0.0015422753987405016,27478.0
PHACTR1,0.0,0.040377711547213,-0.0988853722174862,-0.0065880497856216,-0.058507660670273194,0.0231354865357273,0.0097907242166485,-0.004843236677398499,6.0877821573700544e-05,27439.0
PLS3,0.0047046390380776,0.0211049709783532,-0.0026573603582788997,-0.004175166745877399,0.009597668858815701,0.012225165194398202,-0.0074220032896018,-0.0057081172436819,0.0043749236529127,27388.0
CSE1L,0.0084410734560363,0.0637636158042759,-0.0070492745168192015,-0.0201883817833664,0.0469733786135966,0.0351341605648732,-0.006204919323091,0.0020039242783944002,0.005544118435165701,27388.0
PRAMEF1,0.000430409570496,0.0078692256756322,-0.0048145275028824,-0.012112786712963399,0.0015922259425801,-0.0046739706078271995,-0.0005340314949611,0.0031854377343404003,-0.0059656733108517,27354.0
LY6D,0.0012618903328404,0.0125858148585643,-0.0124643393616558,-0.0044963500029913,-0.0011404148359318994,0.006827574522732601,-0.0076691798717466,0.0054456584339144,0.0006609835068349997,27325.0
SMIM12,0.0016048061595826,0.0204354647885829,-0.0014214043382864,-0.0059002942033796,0.011960489258509,0.012930364425620702,0.0007105919017583,0.0012962778404781998,-0.0027820598039533,27324.0
PTN,0.0060963376872969,0.0060963376872969,-0.0013993908657143998,0.0015858666231792,-0.0033099175157785005,0.0015858666231792,-0.006181903999957,-0.0152296931037319,0.00034305679438150025,27292.0
SNURF,0.0005731277557343,0.0063165159316063,-0.0005890893407294,-0.0168249091896611,0.0013474047998023996,-0.014779591243141398,-0.0025440832378235,0.0019417265382236002,-0.0300736601144037,27287.0
NRXN1,0.0095990746979061,0.0095990746979061,0.0028702937165051004,-0.011041766145302001,0.0028702937165051004,-0.011041766145302001,-0.0471266077809264,0.0018862123901614986,-0.0282850360654271,27278.0
ITGB5,0.008450396912928,0.0362868253150939,-0.0170318309917935,-0.0211748956381043,0.010804597410372398,-0.008860474816719803,-0.0176046802956385,0.0091165509078651,-0.0143614217330325,27260.0
SLC25A42,0.0037261054830664,0.0160781973065787,-0.0133653477635278,-0.008728740701794,-0.0010132559400155006,0.0034213463983814984,-0.0027108295486845,0.0033570426285955,0.0050993375182299995,27244.0
RMI2,0.0149312899414458,0.0530446145079171,-0.006115453338102799,0.0012484085669963,0.0319978712283685,0.0333731454007851,-0.004294578026154,-0.0110173394865721,0.00041353167620879986,27238.0
GLTP,0.0033612549097351,0.0033612549097351,-0.0075199853229549,0.0012828647717702999,-0.0075199853229549,-0.0076283530602837,-0.008811988862318,0.0014793368877314,-0.0032509527514172996,27232.0
MLEC,0.0011583979839574,0.0076118684008617,-0.0005991197118844001,-0.0082480866065842,0.0058543507050199,-0.016134991335431403,-0.0299140358815399,0.006254224320827704,-0.0248318590987246,27223.0
CCN3,0.0047389996278705,0.0130612831975828,-0.0042980089806553,-0.014381202183309301,0.004024274589057001,-0.0060589186135969995,0.0076190727276881,0.0007212478243706997,-0.026974642912454,27216.0
FEZF1,0.0041770657176268,0.0119772234246965,0.0020740547119753,-0.0023934348199699,0.009874212419045,-0.007911385369259298,-0.0141434874139879,0.0014530356972679015,-0.0286505724863413,27213.0
LTBP1,0.0066346390577139,0.0086560063702677,0.0006439698461818003,-0.018347175940052,0.0026653371587355996,-0.0163258086274982,-0.0005004354273212,0.0001427310190591,-0.0333180767836177,27207.0
PRPF39,0.0009317942670446,0.0093001095824173,-0.0034251306834156,-0.0167086909751764,0.000979903283025699,-0.008340375659803702,-0.0014041137746678,0.0034908792245742,-0.0151852840789868,27199.0
LIN7A,0.002825412135278,0.0059275212729853,3.8411048683499854e-05,0.0024270457448822,-0.0060155921157895005,0.0007412699941939998,-0.0404225756545475,-0.0176731158004081,0.002597733507405796,27199.0
MTR,0.0011542721033932,0.0108869384329944,-0.00028496752783539986,9.31240616289001e-05,0.0094476988017658,0.0050191136260441995,-0.0012517343279839,-0.0031371326999659003,0.0011934226141676,27196.0
ADGRE2,0.0025912582080495,0.0124384378474455,-0.0057032589969998,-0.0039377938676866,-0.004267754604991399,0.005909385771709399,0.0042601069426475,0.0017432555166622997,-0.0028407116611567007,27180.0
CD19,0.0042098205499507,0.0145542750790222,0.0022502311143291,-0.0049560431619574,0.012594685643400601,0.0053884113671141005,-0.0238668437179629,0.0023722151339949996,0.0019191852594517,27159.0
HIGD1C,0.0006623733512871,0.0028481641043072,0.0005148841476246,-0.008035074136305201,0.0011160950371519,-0.0058492833832851,-0.0149167655944551,0.003935481396536199,-0.0118549921688782,27154.0
ATG13,0.009651031867314,0.0416777505309852,-0.008084237040979901,-0.021041932299797502,0.0239424816226913,0.010984786363873698,-0.0137509360019269,-0.011227347686287099,0.0082050243372,27148.0
ATP7A,0.0016232488792049,0.0121335681251881,-0.0197831489533851,-0.00183297724407,-0.0092728297074019,0.0057279355172545005,-0.0098375195350337,0.005211761628866399,-0.0012068415131655016,27145.0
NEFH,0.0017006284933411,0.0193477819496311,-0.0131945911033711,-0.0075247273223885,0.004452562352918901,0.0028812936187959,-0.0067595257279989,0.006537855147522401,-0.0269587432411778,27129.0
ART4,0.0135085015167767,0.0135085015167767,0.002862700437904101,-0.0004625859768356,0.002862700437904101,-0.0004625859768356,-0.0164686198710155,0.0010580369162827008,-0.015188824189577,27126.0
SLC29A3,2.337372887387679e-05,0.0099204623743486,-0.014189437471169124,-0.005699688225858023,-0.0042923488256944,0.0041974004196167,-0.0059867617284741,0.0059887276265455,-0.0023950698955059998,27081.0
ZFP36L2,0.0166800228606368,0.0166800228606368,-0.008618014479673999,0.0019759571095465008,-0.008618014479673999,0.0019759571095465008,-0.0125940091942416,-0.0123138140983293,0.0017331243507140992,27071.0
VWDE,0.0045367723279162,0.0045367723279162,-0.011008145222115101,3.235617695139959e-05,-0.011008145222115101,-0.011365678218424102,-0.0065838031852381,-0.00659843115291926,0.0031966538105255,27052.0
TLR2,0.0004655731852534,0.0208669661111133,-0.0044098122983171,-0.0115452616665573,0.0159915806275428,0.0088561312593026,-0.0076763209995533,-0.0152747357175479,0.006243282841313501,27023.0
BCAP31,0.0115287083693104,0.0227610551060394,-0.0059747702799848,-0.0315996809589246,0.0024476428506940984,-0.028500993578457704,0.0103028321120738,0.0008123684342792002,-0.0265136123355489,27013.0
DNAJB11,0.0055975942057862,0.0291101861704481,-0.0036523083139013996,0.0016863968164016994,0.0198602836507605,0.023861790402264098,-0.0038000141318369,0.00030121744014739976,-0.0032885624506309,27010.0
RPL21,0.0081137841872315,0.1307024713623156,-0.0336304553001978,-0.0172639651030104,0.0028837971384884087,0.09557283352640311,-0.0184871533686873,-0.0059917318764356985,0.0101273853375628,26989.0
DENND4A,0.0070133379907357,0.0070133379907357,-3.860096114420043e-05,0.0027413339865421,-3.860096114420043e-05,-0.0007476922592605005,-0.0194005111564362,0.0017885387084679988,-0.002400105501708199,26977.0
MX2,0.0019067502823614,0.0168315075614288,-0.0007520225495301,-0.0110777007301008,0.0123504901545951,0.0029644219467154977,-0.0097067238928019,0.004815216022762699,-0.0378830366915429,26946.0
